Point,E,N,Elevation,Code,SurveyID,Year,Period,TagID,RiffleID,Site,TagSize_mm,A_Axis_mm,B_Axis_mm,B_Axis_ft,C_Axis_mm,Gravelometer_mm,Weight_g,Particle_Class,Size_Class1,Size_Class2,Distance_ft,Distance_m,Field_Movement,Moved_1PD,Moved_12PD,Hiding,Embedded,Buried,Notes
50616,2804904.04,1266470.24,7456.60,PITRCK,Relocate 2023,2023,After,209000133175,GravelAug,GravelAug,23,159,105,0.344,68,128,2043,Cobble,SC2,SC,10.67,3.251,1,1,1,0,0,1,approximate recap location
1109,2804491.13,1266575.68,7453.38,PITRCK,Relocate 2022,2021,Before,230000111704,2,Riffle 2,32,95,73,0.240,41,64,416,Gravel,VCG2,VCG,0.07,0.021,0,0,0,0,1,0,aquatic vegetation present
1110,2804490.75,1266571.61,7453.87,PITRCK,Relocate 2022,2021,Before,230000111666,2,Riffle 2,32,321,290,0.951,200,362,18300,Boulder,SB1,SB,0.17,0.051,0,0,0,0,0,0,aquatic vegetation present
1111,2804488.19,1266566.65,7453.35,PITRCK,Relocate 2022,2021,Before,230000111657,2,Riffle 2,32,100,72,0.236,42,64,379,Gravel,VCG2,VCG,0.13,0.041,0,0,0,0,1,0,aquatic vegetation present
1112,2804488.05,1266563.88,7453.44,PITRCK,Relocate 2022,2021,Before,230000111547,2,Riffle 2,32,168,111,0.364,53,90,1488,Cobble,SC1,SC,0.13,0.039,0,0,0,0,0,0,aquatic vegetation present
1211,2802825.22,1266282.70,7447.20,PITRCK,Relocate 2022,2021,Before,230000111591,3,Riffle 3,32,150,122,0.400,61,128,1204,Cobble,SC2,SC,0.33,0.100,1,0,0,1,0,0,barely moved
1215,2802835.56,1266262.88,7446.92,PITRCK,Relocate 2022,2021,Before,230000111571,3,Riffle 3,32,126,87,0.285,39,90,849,Cobble,SC1,SC,0.35,0.106,1,1,1,1,0,0,barely moved
822,2804478.21,1266520.94,7453.92,PITRCK,Relocate 2020,2020,Before,230000111649,2,Riffle 2,32,150,87,0.285,55,90,1202,Cobble,SC1,SC,0.22,0.068,0,0,0,0,1,1,buried
824,2804476.29,1266509.94,7454.49,PITRCK,Relocate 2020,2020,Before,230000111685,2,Riffle 2,32,110,96,0.315,55,90,873,Cobble,SC1,SC,0.63,0.191,0,1,1,0,1,1,buried
950,2802850.42,1266359.34,7447.55,PITRCK,Relocate 2020,2020,Before,228000607536,3,Riffle 3,23,70,68,0.223,51,64,373,Gravel,VCG2,VCG,0.05,0.014,0,0,0,0,1,1,buried
976,2802867.24,1266370.31,7447.64,PITRCK,Relocate 2020,2020,Before,228000607574,3,Riffle 3,23,62,43,0.141,32,64,140,Gravel,VCG2,VCG,0.11,0.034,0,0,0,0,1,1,buried
999,2802920.66,1266257.78,7448.03,PITRCK,Relocate 2020,2020,Before,228000607518,3,Riffle 3,23,86,66,0.217,38,64,NA,Gravel,VCG2,VCG,0.06,0.019,0,0,0,0,1,1,buried
1230,2802826.18,1266320.53,7447.33,PITRCK,Relocate 2022,2021,Before,230000111740,3,Riffle 3,32,145,94,0.308,62,90,1384,Cobble,SC1,SC,0.28,0.084,1,0,0,0,1,1,buried
