TagID,B_Axis_ft,Distance_ft,SurveyID
230000111604,0.203,1.76,Relocate 2019
230000111593,0.217,0.28,Relocate 2019
230000111539,0.367,1.03,Relocate 2019
230000111616,0.443,0.49,Relocate 2019
230000111524,0.292,0.43,Relocate 2019
230000111518,0.335,0.34,Relocate 2019
228000607515,0.187,1.17,Relocate 2019
230000111579,0.292,2.33,Relocate 2019
230000111630,0.322,0.66,Relocate 2019
230000111509,0.325,0.53,Relocate 2019
228000607562,0.164,0.62,Relocate 2019
228000607502,0.177,0.43,Relocate 2019
230000111743,0.318,0.68,Relocate 2019
230000111714,0.387,0.81,Relocate 2019
230000111702,0.354,0.48,Relocate 2019
230000111659,0.456,0.80,Relocate 2019
230000111559,0.266,0.32,Relocate 2019
228000607510,0.213,1.02,Relocate 2019
230000111633,0.358,2.88,Relocate 2019
230000111692,0.266,0.39,Relocate 2019
230000111724,0.420,0.96,Relocate 2019
230000111663,0.253,0.33,Relocate 2019
230000111749,0.410,3.80,Relocate 2019
230000111625,0.348,2.72,Relocate 2019
228000607559,0.177,0.63,Relocate 2019
230000111647,0.459,0.49,Relocate 2019
230000111611,0.249,0.49,Relocate 2019
230000111661,0.220,1.71,Relocate 2019
230000111563,0.203,0.37,Relocate 2019
230000111612,0.325,0.67,Relocate 2019
230000111532,0.413,1.68,Relocate 2019
230000111554,0.869,2.42,Relocate 2019
230000111701,0.443,1.18,Relocate 2019
230000111531,0.371,0.61,Relocate 2019
230000111608,0.404,4.05,Relocate 2019
230000111513,0.305,0.76,Relocate 2019
228000607501,0.171,0.68,Relocate 2019
230000111691,0.344,0.69,Relocate 2019
230000111613,0.367,2.30,Relocate 2019
230000111511,0.305,0.32,Relocate 2019
230000111610,0.279,0.74,Relocate 2019
230000111569,0.233,0.82,Relocate 2019
228000607505,0.200,1.84,Relocate 2020
230000111689,0.276,0.40,Relocate 2020
230000111598,0.341,0.40,Relocate 2020
228000607546,0.233,1.84,Relocate 2020
230000111523,0.358,0.66,Relocate 2020
230000111643,0.410,0.67,Relocate 2020
230000111651,0.364,0.53,Relocate 2020
230000111566,0.377,0.62,Relocate 2020
230000111507,0.774,0.82,Relocate 2020
230000111560,0.246,0.75,Relocate 2020
230000111720,0.328,0.78,Relocate 2020
230000111527,0.249,0.28,Relocate 2020
230000111592,0.371,1.37,Relocate 2020
230000111551,0.338,1.03,Relocate 2020
230000111525,0.282,0.31,Relocate 2020
230000111577,0.256,3.13,Relocate 2020
230000111648,0.289,0.55,Relocate 2020
228000607507,0.148,0.35,Relocate 2020
230000111516,0.315,0.75,Relocate 2020
230000111545,0.233,0.33,Relocate 2020
230000111540,0.269,0.36,Relocate 2020
230000111596,0.240,0.85,Relocate 2020
230000111503,0.302,0.85,Relocate 2020
228000607571,0.233,0.83,Relocate 2020
230000111601,0.377,1.04,Relocate 2020
230000111723,0.292,0.34,Relocate 2020
230000111508,0.702,0.92,Relocate 2020
230000111672,0.262,1.32,Relocate 2020
230000111673,0.315,0.43,Relocate 2020
230000111685,0.315,0.63,Relocate 2020
230000111739,0.282,0.30,Relocate 2020
230000111711,0.348,0.41,Relocate 2020
230000111718,0.236,0.45,Relocate 2020
230000111655,0.223,0.27,Relocate 2020
228000607548,0.180,0.42,Relocate 2020
230000111719,0.361,1.20,Relocate 2020
230000111572,0.341,0.51,Relocate 2020
230000111727,0.410,0.57,Relocate 2020
228000607539,0.207,1.36,Relocate 2020
230000111593,0.217,0.53,Relocate 2020
230000111568,0.285,1.44,Relocate 2020
230000111616,0.443,0.45,Relocate 2020
230000111571,0.285,1.90,Relocate 2020
230000111688,0.295,0.34,Relocate 2020
230000111579,0.292,0.50,Relocate 2020
230000111609,0.249,1.06,Relocate 2020
228000607562,0.164,0.58,Relocate 2020
230000111714,0.387,1.67,Relocate 2020
