OBJECTID,Point,N,E,Elevation,Code,Site,SurveyID
111,50210,1266594.61,2806334.43,7459.49,PITRCK,Riffle 1,Deploy 2023
112,50211,1266603.31,2806333.82,7459.59,PITRCK,Riffle 1,Deploy 2023
113,50212,1266607.88,2806332.54,7458.95,PITRCK,Riffle 1,Deploy 2023
114,50213,1266615.39,2806332.16,7459.62,PITRCK,Riffle 1,Deploy 2023
115,50214,1266619.94,2806331.79,7460.04,PITRCK,Riffle 1,Deploy 2023
116,50215,1266627.54,2806331.14,7459.3,PITRCK,Riffle 1,Deploy 2023
117,50216,1266633.56,2806329.96,7458.72,PITRCK,Riffle 1,Deploy 2023
118,50217,1266642.83,2806329.13,7459.4,PITRCK,Riffle 1,Deploy 2023
119,50218,1266654.27,2806329.06,7459.46,PITRCK,Riffle 1,Deploy 2023
120,50219,1266660,2806327.91,7459.55,PITRCK,Riffle 1,Deploy 2023
121,50220,1266538.89,2806318.81,7460.07,PITRCK,Riffle 1,Deploy 2023
122,50221,1266542.26,2806318.92,7459.46,PITRCK,Riffle 1,Deploy 2023
123,50222,1266548.79,2806318.25,7459.15,PITRCK,Riffle 1,Deploy 2023
124,50223,1266554.16,2806317.44,7459.35,PITRCK,Riffle 1,Deploy 2023
125,50224,1266561.12,2806316.92,7458.92,PITRCK,Riffle 1,Deploy 2023
126,50225,1266566.05,2806315.9,7458.76,PITRCK,Riffle 1,Deploy 2023
127,50226,1266573.58,2806314.47,7459.31,PITRCK,Riffle 1,Deploy 2023
128,50227,1266586.02,2806312.73,7458.68,PITRCK,Riffle 1,Deploy 2023
129,50228,1266592.95,2806312.1,7459.58,PITRCK,Riffle 1,Deploy 2023
130,50229,1266600.18,2806311.84,7459.98,PITRCK,Riffle 1,Deploy 2023
131,50230,1266606.36,2806310.68,7459.01,PITRCK,Riffle 1,Deploy 2023
132,50231,1266613.69,2806309.54,7458.83,PITRCK,Riffle 1,Deploy 2023
133,50232,1266622.34,2806309.04,7458.4,PITRCK,Riffle 1,Deploy 2023
134,50233,1266628.73,2806308.17,7459.48,PITRCK,Riffle 1,Deploy 2023
135,50234,1266635.43,2806307.78,7459.35,PITRCK,Riffle 1,Deploy 2023
