"TagID","Period","deployRiffleID","TagSize_mm","A_Axis_mm","B_Axis_mm","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","totalDistance_ft","movementDuration","DeployDate","LastRecapDate","deployID"
209000133204,"After","GA1",23,66,55,45,"64",207.5,"Gravel","VCG2",19.97,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50300
209000133207,"After","0",23,120,69,56,"90",768.5,"Cobble","SC1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51021
209000133209,"After","GA1",23,124,118,87,"128",1659.5,"Cobble","SC2",1.34,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50302
209000133492,"After","3",23,68,54,45,"64",212,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51190
226001370200,"After","GA2",12,17,15,10,"16",3.822,"Gravel","MG2",0,"2023-04-25 to 2023-04-25",2023-04-25,NA,50311
226001370201,"After","2A",12,26,16,7,"16",3.799,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51229
226001370202,"After","3",12,20,16,15,"16",5.569,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51179
226001370203,"After","Overflow 1C",12,21,16,10,"16",5.123,"Gravel","MG2",0,"2023-04-25 to 2023-04-25",2023-04-25,NA,50333
226001370204,"After","Overflow 1A",12,21,18,10,"16",5.067,"Gravel","MG2",1806.25,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50339
226001370205,"After","Overflow 1C",12,35,25,18,"32",45,"Gravel","CG2",1.27,"2023-04-25 to 2023-09-27",2023-04-25,2023-09-27,50330
226001370206,"After","1",12,35,27,20,"32",49,"Gravel","CG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50225
226001370207,"After","GA8",12,22,19,14,"22.6",6.736,"Gravel","CG1",0,"2024-04-25 to 2024-04-25",2024-04-25,NA,50360
226001370208,"After","2A",12,20,18,15,"22.6",5.638,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51231
226001370209,"After","0",12,52,34,27,"32",50.5,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51084
226001370210,"After","2A",12,21,15,15,"16",5.473,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50131
226001370211,"After","3",12,33,30,14,"32",36,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51109
226001370212,"After","1",12,25,15,10,"16",4.675,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50206
226001370213,"After","2B",12,27,19,12,"16",5.329,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50164
226001370214,"After","GA11",12,26,18,17,"22.6",8.477,"Gravel","CG1",0,"2024-04-25 to 2024-04-25",2024-04-25,NA,50363
226001370215,"After","1",12,23,12,8,"16",2.755,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50298
226001370216,"After","GA1",12,24,15,14,"16",4.961,"Gravel","MG2",0.2,"2023-04-25 to 2023-09-27",2023-04-25,2023-09-27,50304
226001370217,"After","3",12,39,31,14,"32",44.5,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51191
226001370218,"After","2A",12,34,12,12,"16",5.414,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50124
226001370219,"After","1",12,34,22,19,"32",41.5,"Gravel","CG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50276
226001370220,"After","3",12,22,15,10,"16",4.661,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51187
226001370221,"After","GA7",12,23,17,15,"16",7.044,"Gravel","MG2",0,"2024-04-25 to 2024-04-25",2024-04-25,NA,50353
226001370222,"After","Overflow 1C",12,26,18,11,"16",7.0078,"Gravel","MG2",0.16,"2023-04-25 to 2023-09-27",2023-04-25,2023-09-27,50331
226001370224,"After","2B",12,25,15,10,"16",5.3756,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50196
226001370225,"After","2B",12,22,15,13,"16",5.19,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51275
226001370226,"After","3",12,41,22,14,"32",31,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51165
226001370227,"After","0",12,50,27,21,"32",33,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51098
226001370228,"After","1",12,21,15,14,"16",5.62,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50285
226001370229,"After","3",12,26,16,9,"16",4.223,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51158
226001370230,"After","Overflow 1C",12,47,29,16,"32",59,"Gravel","CG2",3.59,"2023-04-25 to 2023-09-27",2023-04-25,2023-09-27,50332
226001370231,"After","0",12,35,34,20,"32",32.5,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51082
226001370232,"After","1",12,40,34,17,"32",52,"Gravel","CG2",0.44,"2023-04-24 to 2023-09-25",2023-04-24,2023-09-25,50227
226001370234,"After","GA8",12,19,16,6,"16",2.279,"Gravel","MG2",0,"2024-04-25 to 2024-04-25",2024-04-25,NA,50358
226001370235,"After","1",12,19,17,10,"16",4.171,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50296
226001370236,"After","Overflow 1C",12,27,21,16,"32",33,"Gravel","CG2",42.62,"2023-04-25 to 2023-09-27",2023-04-25,2023-09-27,50334
226001370237,"After","1",12,31,27,15,"32",36.5,"Gravel","CG2",0.08,"2023-04-24 to 2023-09-25",2023-04-24,2023-09-25,50294
226001370238,"After","0",12,45,25,13,"22.6",22.5,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51024
226001370239,"After","0",12,46,33,19,"45",76,"Gravel","VCG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51050
226001370240,"After","2B",12,21,15,11,"16",4.405,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50190
226001370241,"After","2A",12,22,16,12,"16",5.082,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51211
226001370242,"After","3",12,24,21,12,"16",4.828,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51181
226001370243,"After","1",12,20,18,11,"16",4.967,"Gravel","MG2",208.4,"2023-04-24 to 2024-09-24",2023-04-24,2024-09-24,50239
226001370244,"After","1",12,17,15,9,"16",3.148,"Gravel","MG2",0.44,"2023-04-24 to 2024-09-24",2023-04-24,2024-09-24,50257
226001370245,"After","0",12,43,38,22,"32",39,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51018
226001370246,"After","3",12,21,17,11,"16",5.37,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51156
226001370247,"After","2B",12,22,15,10,"16",3.018,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51276
226001370248,"After","3",12,28,28,26,"32",45,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51173
226001370249,"After","GA9",12,58,35,22,"32",60,"Gravel","CG2",0,"2024-04-25 to 2024-04-25",2024-04-25,NA,50355
226001370250,"After","2B",12,35,26,17,"32",50,"Gravel","CG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50188
226001370251,"After","0",12,49,32,16,"32",32.5,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51046
226001370252,"After","3",12,25,18,10,"16",4.005,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51126
226001370253,"After","2B",12,32,23,14,"32",33.5,"Gravel","CG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50182
226001370254,"After","3",12,22,14,12,"16",5.005,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51116
226001370255,"After","0",12,29,19,14,"16",8.435,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51061
226001370256,"After","1",12,20,17,7,"16",2.964,"Gravel","MG2",21.69,"2023-04-24 to 2024-09-24",2023-04-24,2024-09-24,50209
226001370257,"After","2A",12,26,20,9,"16",4.179,"Gravel","MG2",149.94,"2023-04-24 to 2024-09-24",2023-04-24,2024-09-24,50122
226001370258,"After","3",12,20,13,11,"16",4.263,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51119
226001370259,"After","Overflow 1A",12,22,17,10,"16",4.273,"Gravel","MG2",1532.48,"2023-04-25 to 2024-09-24",2023-04-25,2024-09-24,50335
