OBJECTID,Point,E,N,Elevation,Code,SurveyID
121,50859,2803938.22,1266623.01,7451.33,PITRCK,Relocate 2024
122,50862,2803694.35,1266666.42,7448.2,PITRCK,Relocate 2024
123,50863,2803547.71,1266645.05,7448.62,PITRCK,Relocate 2024
124,50865,2803825.98,1266657.84,7450.26,PITRCK,Relocate 2024
125,50867,2803516.68,1266659.98,7448.31,PITRCK,Relocate 2024
126,50868,2804146.52,1266631.66,7453.02,PITRCK,Relocate 2024
127,50869,2803118.49,1266449.55,7449.78,PITRCK,Relocate 2024
128,50871,2803754.71,1266647,7448.35,PITRCK,Relocate 2024
129,50874,2803122.93,1266464.18,7448.76,PITRCK,Relocate 2024
130,50875,2803145.47,1266458.17,7448.02,PITRCK,Relocate 2024
131,50876,2804171.16,1266637.54,7453.5,PITRCK,Relocate 2024
132,50878,2804190.46,1266621.47,7453.72,PITRCK,Relocate 2024
133,50880,2803651.37,1266642.54,7448.57,PITRCK,Relocate 2024
134,50883,2804003.55,1266655.93,7451.43,PITRCK,Relocate 2024
135,50885,2803846.1,1266650.86,7450.05,PITRCK,Relocate 2024
136,50887,2802849.2,1266239.1,7447.61,PITRCK,Relocate 2024
137,50891,2803441.12,1266630.77,7448.29,PITRCK,Relocate 2024
138,50893,2804144.99,1266630.25,7453.22,PITRCK,Relocate 2024
139,50894,2803279.76,1266545.24,7448.9,PITRCK,Relocate 2024
140,50895,2803780.61,1266640.03,7448.29,PITRCK,Relocate 2024
141,50897,2803464.74,1266629.19,7448.2,PITRCK,Relocate 2024
142,50899,2804171.33,1266643.08,7453.9,PITRCK,Relocate 2024
143,50900,2805198.16,1266508.89,7457.85,PITRCK,Relocate 2024
144,50901,2805209.21,1266503.73,7457.62,PITRCK,Relocate 2024
145,50902,2805214.9,1266496.86,7457.63,PITRCK,Relocate 2024
146,50903,2805192.02,1266516.49,7456.79,PITRCK,Relocate 2024
147,50905,2805185.87,1266503.11,7457.69,PITRCK,Relocate 2024
148,50906,2805177.86,1266497.94,7454.96,PITRCK,Relocate 2024
149,50908,2805162.01,1266514.7,7456.9,PITRCK,Relocate 2024
150,50909,2805158.4,1266509.75,7455.36,PITRCK,Relocate 2024
151,50910,2804793.89,1266584.56,7454.11,PITRCK,Relocate 2024
152,50912,2803750.73,1266647.38,7448.79,PITRCK,Relocate 2024
153,50919,2803709.71,1266658.12,7448.37,PITRCK,Relocate 2024
154,50920,2804135.55,1266641.11,7452.73,PITRCK,Relocate 2024
155,50921,2804482.96,1266576.41,7454.21,PITRCK,Relocate 2024
156,50922,2804657.03,1266599.67,7454.96,PITRCK,Relocate 2024
157,50923,2802150.92,1268070.33,7545.33,20,Relocate 2024
158,50924,2804584.39,1266590.95,7454.79,PITRCK,Relocate 2024
159,50926,2804173.79,1266623.61,7452.78,PITRCK,Relocate 2024
160,50928,2804367.67,1266553.38,7452.89,PITRCK,Relocate 2024
161,50929,2804188.61,1266604.09,7452.92,PITRCK,Relocate 2024
162,50939,2802889.92,1266288.08,7448.8,PITRCK,Relocate 2024
163,50951,2803123.51,1266408.45,7448.73,PITRCK,Relocate 2024
164,50952,2803478.23,1266595.34,7451.12,PITRCK,Relocate 2024
165,50954,2803091.75,1266382.53,7448.81,PITRCK,Relocate 2024
166,50956,2803095.78,1266397.8,7450.12,PITRCK,Relocate 2024
167,50959,2803036.84,1266435.56,7449.17,PITRCK,Relocate 2024
168,50962,2802562.45,1266085.26,7447.05,PITRCK,Relocate 2024
169,50964,2802576.73,1266071.96,7447.39,PITRCK,Relocate 2024
170,50966,2801639.26,1265852.35,7442.63,PITRCK,Relocate 2024
171,50967,2802591.97,1266171.56,7449.03,PITRCK,Relocate 2024
172,50971,2802011.82,1265835.48,7443.43,PITRCK,Relocate 2024
173,146502,2802850.65,1266275.04,7448.65,PITRCK?,Relocate 2024
174,146503,2802752.13,1266217.65,7445.32,PITRCK?,Relocate 2024
175,146504,2802722.98,1266159.33,7447.49,PITRCK?,Relocate 2024
