DeployID,TagID,RecapID,RecapID_Clean,Size (mm),Location,SurveyID,Date,Notes
51141,226001370370,,,12,Riffle 3,Deploy 2024_10,,
51198,226001370385,,,12,Riffle 3,Deploy 2024_10,,
51153,228000607568,,,23,Riffle 3,Deploy 2024_10,,
51169,228000607575,,,23,Riffle 3,Deploy 2024_10,,
51146,230000111500,,,32,Riffle 3,Deploy 2024_10,,
51180,230000111505,,,32,Riffle 3,Deploy 2024_10,,
51143,230000111512,,,32,Riffle 3,Deploy 2024_10,,
51182,230000111513,,,32,Riffle 3,Deploy 2024_10,,
51131,230000111514,,,32,Riffle 3,Deploy 2024_10,,
51186,230000111520,,,32,Riffle 3,Deploy 2024_10,,
51151,230000111524,,,32,Riffle 3,Deploy 2024_10,,
51101,230000111529,,,32,Riffle 3,Deploy 2024_10,,
51188,230000111533,,,32,Riffle 3,Deploy 2024_10,,
51136,230000111538,,,32,Riffle 3,Deploy 2024_10,,
51107,230000111542,,,32,Riffle 3,Deploy 2024_10,,
51164,230000111543,,,32,Riffle 3,Deploy 2024_10,,
51152,230000111554,,,32,Riffle 3,Deploy 2024_10,,
51192,230000111557,,,32,Riffle 3,Deploy 2024_10,,
51197,230000111561,,,32,Riffle 3,Deploy 2024_10,,
51161,230000111565,,,32,Riffle 3,Deploy 2024_10,,
51100,230000111574,,,32,Riffle 3,Deploy 2024_10,,
51184,230000111579,,,32,Riffle 3,Deploy 2024_10,,
51148,230000111580,,,32,Riffle 3,Deploy 2024_10,,
51120,230000111597,,,32,Riffle 3,Deploy 2024_10,,
51138,230000111601,,,32,Riffle 3,Deploy 2024_10,,
51185,230000111610,,,32,Riffle 3,Deploy 2024_10,,
51132,230000111612,,,32,Riffle 3,Deploy 2024_10,,
51157,230000111616,,,32,Riffle 3,Deploy 2024_10,,
51177,230000111617,,,32,Riffle 3,Deploy 2024_10,,
51167,230000111626,,,32,Riffle 3,Deploy 2024_10,,
51123,230000111627,,,32,Riffle 3,Deploy 2024_10,,
51162,230000111628,,,32,Riffle 3,Deploy 2024_10,,
51106,230000111633,,,32,Riffle 3,Deploy 2024_10,,
51114,230000111635,,,32,Riffle 3,Deploy 2024_10,,
51194,230000111637,,,32,Riffle 3,Deploy 2024_10,,
51137,230000111640,,,32,Riffle 3,Deploy 2024_10,,
51135,230000111649,,,32,Riffle 3,Deploy 2024_10,,
51178,230000111659,,,32,Riffle 3,Deploy 2024_10,,
51133,230000111661,,,32,Riffle 3,Deploy 2024_10,,
51139,230000111663,,,32,Riffle 3,Deploy 2024_10,,
51127,230000111674,,,32,Riffle 3,Deploy 2024_10,,
51196,230000111699,,,32,Riffle 3,Deploy 2024_10,,
51149,230000111702,,,32,Riffle 3,Deploy 2024_10,,
51121,230000111706,,,32,Riffle 3,Deploy 2024_10,,
51104,230000111745,,,32,Riffle 3,Deploy 2024_10,,
51155,230000298009,,,32,Riffle 3,Deploy 2024_10,,
51195,230000298010,,,32,Riffle 3,Deploy 2024_10,,
51166,230000298015,,,32,Riffle 3,Deploy 2024_10,,
51117,230000298018,,,32,Riffle 3,Deploy 2024_10,,
51150,230000298019,,,32,Riffle 3,Deploy 2024_10,,
51130,231000039708,,,14,Riffle 3,Deploy 2024_10,,
51144,231000039743,,,14,Riffle 3,Deploy 2024_10,,
51102,231000039749,,,14,Riffle 3,Deploy 2024_10,,
51105,231000039767,,,14,Riffle 3,Deploy 2024_10,,
51147,231000039789,,,14,Riffle 3,Deploy 2024_10,,
51163,231000039793,,,14,Riffle 3,Deploy 2024_10,,
51183,231000039794,,,14,Riffle 3,Deploy 2024_10,,
51128,231000039796,,,14,Riffle 3,Deploy 2024_10,,
51263,209000132723,,,LC,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51218,209000132797,,,BLD,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51271,209000132802,,,LC,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51219,209000133113,,,GRVAUG,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51229,226001370201,,,GRVAUG,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51231,226001370208,,,GRVAUG,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51275,226001370225,,,GRVAUG,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
,226001370227,,,GRVAUG,,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51211,226001370241,,,GRVAUG,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51276,226001370247,,,GRVAUG,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51269,226001370273,,,GRVAUG,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51266,226001370276,,,GRVAUG,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
,226001370325,,,GRVAUG,,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51228,228000607518,,,GRVAUG,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51254,228000607523,,,GRVAUG,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51221,228000607542,,,GRVAUG,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51272,228000607553,,,GRVAUG,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51270,228000607555,,,GRVAUG,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
