OBJECTID,Point,N,E,Elevation,Code,SurveyID
227,51226,1266587.85,2804571.51,7454.76,PITRCK,Deploy 2024_10
228,51227,1266583.52,2804572.74,7454.72,PITRCK,Deploy 2024_10
229,51228,1266577.68,2804574.05,7454.62,PITRCK,Deploy 2024_10
230,51229,1266572.83,2804574.44,7454.58,PITRCK,Deploy 2024_10
231,51230,1266567.82,2804575.89,7455.01,PITRCK,Deploy 2024_10
232,51231,1266562.97,2804577.51,7455.01,PITRCK,Deploy 2024_10
233,51232,1266557.32,2804578.87,7455.22,PITRCK,Deploy 2024_10
234,51233,1266552.35,2804579.92,7455.34,PITRCK,Deploy 2024_10
235,51234,1266546.07,2804547.94,7455.24,PITRCK,Deploy 2024_10
236,51235,1266552.04,2804546.55,7455.04,PITRCK,Deploy 2024_10
237,51236,1266557.49,2804545.72,7454.55,PITRCK,Deploy 2024_10
238,51237,1266568.7,2804542.47,7454.34,PITRCK,Deploy 2024_10
239,51238,1266573.2,2804542.71,7454.07,PITRCK,Deploy 2024_10
240,51239,1266578.73,2804542.18,7454.16,PITRCK,Deploy 2024_10
241,51240,1266583.89,2804541.24,7454.38,PITRCK,Deploy 2024_10
242,51241,1266589.24,2804539.62,7454.41,PITRCK,Deploy 2024_10
243,51242,1266595.04,2804538.46,7454.56,PITRCK,Deploy 2024_10
244,51243,1266599.78,2804536.68,7454.54,PITRCK,Deploy 2024_10
245,51250,1266610.99,2804263.42,7454.84,PITRCK,Deploy 2024_10
246,51251,1266605.15,2804262.02,7454.29,PITRCK,Deploy 2024_10
247,51252,1266598.98,2804260.94,7453.21,PITRCK,Deploy 2024_10
248,51253,1266591.89,2804259.69,7452.99,PITRCK,Deploy 2024_10
249,51254,1266586.9,2804257.7,7452.96,PITRCK,Deploy 2024_10
250,51255,1266581.46,2804256.91,7452.87,PITRCK,Deploy 2024_10
251,51256,1266577.09,2804256.28,7452.73,PITRCK,Deploy 2024_10
252,51257,1266572.61,2804255.57,7453,PITRCK,Deploy 2024_10
253,51258,1266568.34,2804253.9,7453.45,PITRCK,Deploy 2024_10
254,51259,1266562.13,2804252.87,7453.78,PITRCK,Deploy 2024_10
255,51260,1266556.99,2804251.91,7453.8,PITRCK,Deploy 2024_10
256,51261,1266551.52,2804250.07,7454.3,PITRCK,Deploy 2024_10
257,51262,1266555.96,2804227.92,7454.28,PITRCK,Deploy 2024_10
258,51263,1266563.65,2804229.89,7453.8,PITRCK,Deploy 2024_10
259,51264,1266569.42,2804231.48,7453.02,PITRCK,Deploy 2024_10
260,51265,1266574.92,2804232.45,7452.8,PITRCK,Deploy 2024_10
261,51266,1266580.57,2804234.07,7452.57,PITRCK,Deploy 2024_10
262,51267,1266586.02,2804235.57,7452.65,PITRCK,Deploy 2024_10
263,51268,1266594.89,2804237.36,7453.03,PITRCK,Deploy 2024_10
264,51269,1266603.4,2804239.33,7453.26,PITRCK,Deploy 2024_10
265,51270,1266611.15,2804240.53,7454.07,PITRCK,Deploy 2024_10
266,51271,1266628.39,2804205.81,7453.95,PITRCK,Deploy 2024_10
