Point,E,N,Elevation,Code,SurveyID,Date,Period,TagID,RiffleID,TagSize_mm,A_Axis_mm,B_Axis_mm,C_Axis_mm,Gravelometer_mm,Weight_g,Particle_Class,Size_Class,Field_Movement,Hiding,Embedded,Buried,Notes
151,2806290.95,1266617.97,7458.89,PITRCK,Deploy 2019,4/16/2019,Before,230000111728,1,32,165,123,75,180,2327,Cobble,LC1,NA,NA,NA,NA,NA
152,2806290.24,1266624.49,7458.87,PITRCK,Deploy 2019,4/16/2019,Before,230000111594,1,32,135,67,55,90,911,Cobble,SC1,NA,NA,NA,NA,NA
153,2806290.82,1266630.50,7458.79,PITRCK,Deploy 2019,4/16/2019,Before,230000111566,1,32,134,115,43,128,1003,Cobble,SC2,NA,NA,NA,NA,NA
154,2806291.04,1266637.09,7459.06,PITRCK,Deploy 2019,4/16/2019,Before,230000111507,1,32,331,236,143,256,11400,Cobble,LC2,NA,NA,NA,NA,NA
155,2806290.28,1266642.76,7458.86,PITRCK,Deploy 2019,4/16/2019,Before,230000111717,1,32,135,93,59,90,1398,Cobble,SC1,NA,NA,NA,NA,NA
156,2806290.36,1266648.10,7458.97,PITRCK,Deploy 2019,4/16/2019,Before,230000111560,1,32,91,75,50,64,337,Gravel,VCG2,NA,NA,NA,NA,NA
157,2806289.71,1266651.88,7459,PITRCK,Deploy 2019,4/16/2019,Before,230000111720,1,32,119,100,43,90,741,Cobble,SC1,NA,NA,NA,NA,NA
158,2806289.53,1266659.26,7459.12,PITRCK,Deploy 2019,4/16/2019,Before,230000111527,1,32,139,76,75,90,1153,Cobble,SC1,NA,NA,NA,NA,NA
159,2806308.67,1266664.85,7459.4,PITRCK,Deploy 2019,4/16/2019,Before,230000111575,1,32,135,96,53,90,1034,Cobble,SC1,NA,NA,NA,NA,NA
160,2806259.42,1266536.90,7458.86,PITRCK,Deploy 2019,4/16/2019,Before,228000607549,1,23,72,50,38,64,185,Gravel,VCG2,NA,NA,NA,NA,NA
161,2806257.97,1266541.52,7458.62,PITRCK,Deploy 2019,4/16/2019,Before,230000111556,1,32,116,113,59,128,1187,Cobble,SC2,NA,NA,NA,NA,NA
162,2806257.70,1266547.37,7458.68,PITRCK,Deploy 2019,4/16/2019,Before,230000111570,1,32,218,94,50,128,2142,Cobble,SC2,NA,NA,NA,NA,NA
163,2806256.60,1266552.40,7458.45,PITRCK,Deploy 2019,4/16/2019,Before,228000607577,1,23,94,66,23,64,361,Gravel,VCG2,NA,NA,NA,NA,NA
164,2806255.32,1266557.83,7458.52,PITRCK,Deploy 2019,4/16/2019,Before,230000111636,1,32,141,97,83,128,2024,Cobble,SC2,NA,NA,NA,NA,NA
165,2806254.46,1266563.27,7458.29,PITRCK,Deploy 2019,4/16/2019,Before,230000111716,1,32,129,116,60,128,1338,Cobble,SC2,NA,NA,NA,NA,NA
