"Point","E","N","Elevation","Code","SurveyID","Date","Period","TagID","RiffleID","Site","TagSize_mm","A_Axis_mm","B_Axis_mm","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","Field_Movement","Hiding","Embedded","Buried","DetectionType","allNotes"
51568,2804237.48,1266594.83,"7453.06","PITRCK","Relocate 2025","9/17/2025","After",230000111721,"2B","Riffle 2B",32,187,97,51,"90",1395,"Cobble","SC1",0,1,0,0,"Trimble",""
51569,2804239.3,1266603.31,"7453.2","PITRCK","Relocate 2025","9/17/2025","After",226001370273,"2B","Riffle 2B",12,18,15,9,"16",2.443,"Gravel","MG2",0,0,0,0,"Trimble"," Approximate recap location."
51571,2804205.93,1266628.38,"7453.94","PITRCK","Relocate 2025","9/17/2025","After",209000132802,"2B","Riffle 2B",23,184,155,105,"180",4768,"Cobble","LC1",0,0,0,0,"Trimble",""
51572,2804203.64,1266621.48,"7453.42","PITRCK","Relocate 2025","9/17/2025","After",228000607553,"2B","Riffle 2B",23,76,59,50,"64",435,"Gravel","VCG2",0,0,0,0,"Trimble",""
51573,2804202.04,1266617.61,"7453.69","PITRCK","Relocate 2025","9/17/2025","After",230000111692,"2B","Riffle 2B",32,111,81,77,"90",969,"Cobble","SC1",1,0,0,0,"Trimble",""
51574,2804199.71,1266611.02,"7453.58","PITRCK","Relocate 2025","9/17/2025","After",230000111687,"2B","Riffle 2B",32,167,118,59,"128",1363,"Cobble","SC2",0,0,0,0,"Trimble",""
51575,2804197.5,1266603.45,"7452.59","PITRCK","Relocate 2025","9/17/2025","After",226001370225,"2B","Riffle 2B",12,22,15,13,"16",5.19,"Gravel","MG2",1,0,0,0,"Trimble"," Approximate recap location."
51576,2804196.95,1266598.34,"7452.25","PITRCK","Relocate 2025","9/17/2025","After",226001370247,"2B","Riffle 2B",12,22,15,10,"16",3.018,"Gravel","MG2",1,0,0,1,"Trimble",""
51577,2804195.23,1266591.17,"7452.8","PITRCK","Relocate 2025","9/17/2025","After",230000111518,"2B","Riffle 2B",32,129,102,56,"90",1168,"Cobble","SC1",1,0,0,0,"Trimble",""
51578,2804192.21,1266584.39,"7452.92","PITRCK","Relocate 2025","9/17/2025","After",230000111748,"2B","Riffle 2B",32,154,99,80,"128",1669,"Cobble","SC2",1,0,0,0,"Trimble",""
51579,2804190.02,1266579.64,"7452.76","PITRCK","Relocate 2025","9/17/2025","After",230000111539,"2B","Riffle 2B",32,153,112,75,"128",1871,"Cobble","SC2",1,0,0,0,"Trimble",""
51580,2804186.81,1266572.26,"7453.62","PITRCK","Relocate 2025","9/17/2025","After",230000111528,"2B","Riffle 2B",32,116,93,67,"90",1027,"Cobble","SC1",0,0,0,0,"Trimble",""
51581,2804162.17,1266576.98,"7453.82","PITRCK","Relocate 2025","9/17/2025","After",230000111744,"2B","Riffle 2B",32,113,96,57,"90",914,"Cobble","SC1",1,0,0,0,"Trimble",""
51582,2804165.33,1266583.3,"7453.08","PITRCK","Relocate 2025","9/17/2025","After",230000111571,"2B","Riffle 2B",32,126,87,39,"90",849,"Cobble","SC1",0,0,0,0,"Trimble",""
51583,2804168.68,1266589.95,"7452.87","PITRCK","Relocate 2025","9/17/2025","After",230000111559,"2B","Riffle 2B",32,104,81,74,"90",892,"Cobble","SC1",1,0,0,0,"Trimble",""
51584,2804170.89,1266595.29,"7452.45","PITRCK","Relocate 2025","9/17/2025","After",230000111558,"2B","Riffle 2B",32,145,118,52,"128",1424,"Cobble","SC2",0,0,0,0,"Trimble",""
51585,2804175.06,1266600.78,"7452.97","PITRCK","Relocate 2025","9/17/2025","After",230000111749,"2B","Riffle 2B",32,157,125,80,"128",1961,"Cobble","SC2",0,0,0,0,"Trimble",""
51586,2804177.65,1266607.36,"7453.13","PITRCK","Relocate 2025","9/17/2025","After",230000111679,"2B","Riffle 2B",32,141,105,79,"128",1381,"Cobble","SC2",0,0,0,0,"Trimble",""
51587,2804177.34,1266613.85,"7453.27","PITRCK","Relocate 2025","9/17/2025","After",230000111550,"2B","Riffle 2B",32,107,91,42,"90",571,"Cobble","SC1",1,0,0,0,"Trimble",""
51588,2804182.78,1266618.93,"7453.24","PITRCK","Relocate 2025","9/17/2025","After",230000111667,"2B","Riffle 2B",32,153,114,52,"128",1347,"Cobble","SC2",0,0,0,0,"Trimble",""
51589,2804184.83,1266624.08,"7453.18","PITRCK","Relocate 2025","9/17/2025","After",230000111563,"2B","Riffle 2B",32,114,62,54,"90",634,"Cobble","SC1",0,0,0,0,"Trimble",""
51590,2804186.85,1266629.62,"7453.53","PITRCK","Relocate 2025","9/17/2025","After",230000111509,"2B","Riffle 2B",32,103,99,48,"90",750,"Cobble","SC1",0,0,0,0,"Trimble",""
51591,2804188.48,1266635.69,"7453.86","PITRCK","Relocate 2025","9/17/2025","After",230000111688,"2B","Riffle 2B",32,116,90,40,"90",655,"Cobble","SC1",0,0,0,0,"Trimble",""
51600,2805198.23,1266508.86,"7457.87","PITRCK","Relocate 2025","9/17/2025","After",209000133204,"GA1","Gravel Augmentation",23,66,55,45,"64",207.5,"Gravel","VCG2",0,0,0,0,"Trimble",""
51602,2805214.93,1266496.83,"7457.57","PITRCK","Relocate 2025","9/17/2025","After",209000133209,"GA1","Gravel Augmentation",23,124,118,87,"128",1659.5,"Cobble","SC2",0,0,0,0,"Trimble",""
51603,2805192.4,1266517.23,"7456.61","PITRCK","Relocate 2025","9/17/2025","After",209000133181,"GA1","Gravel Augmentation",23,115,81,58,"90",893,"Cobble","SC1",0,0,0,0,"Trimble",""
51605,2805185.81,1266502.85,"7457.59","PITRCK","Relocate 2025","9/17/2025","After",230000298006,"GA1","Gravel Augmentation",32,264,167,82,"256",8600,"Cobble","LC2",1,0,0,0,"Trimble",""
